acceptedScientificName;Lugar;decimalLongitude;decimalLatitude;year;month;day;eventDate;occurrenceStatus ;DEP,,
Lontra felina (Molina, 1782);Playa Puerto Inglés;-71.35541258;-17.657437;2022;5;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Puerto Inglés;-71.35541258;-17.657437;2022;10;4;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tres Hermanas;-71.3518751;-17.654201;2022;7;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Parque del Niño;-71.34745493;-17.643911;2022;7;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Puerto de Ilo;-71.3474162;-17.64383;2022;5;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Acantilado Yerba Buena;-71.34734061;-17.643813;2022;10;7;NA;1;Moquegua,
Lontra felina (Molina, 1782);Puerto de Ilo;-71.347312;-17.643786;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Puerto de Ilo;-71.347312;-17.643786;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Puerto de Ilo;-71.347312;-17.643786;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Glorieta;-71.34552077;-17.64369;2022;5;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Puerto de Ilo;-71.34684518;-17.643385;2022;7;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Puerto de Ilo;-71.34680726;-17.643368;2022;7;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Puerto de Ilo;-71.34680726;-17.643368;2022;7;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Parque del Niño;-71.3426965;-17.638747;2022;7;22;NA;1;Moquegua,
